none -- [2022-04-03 13:07:04,436] INFO Watching for file changes with StatReloader
127.0.0.1 -- [2022-04-03 13:07:33,529] INFO "GET /management/index/ HTTP/1.1" 302 0
127.0.0.1 -- [2022-04-03 13:07:33,547] INFO "GET /management/login/ HTTP/1.1" 200 4333
127.0.0.1 -- [2022-04-03 13:07:33,577] INFO "GET /static/css/login.css HTTP/1.1" 200 2067
none -- [2022-04-03 13:07:33,589] INFO "GET /static/js/jQuery.md5.js HTTP/1.1" 200 7675
none -- [2022-04-03 13:07:33,621] INFO "GET /static/js/jquery-1.12.3.min.js HTTP/1.1" 200 97180
127.0.0.1 -- [2022-04-03 13:07:33,684] INFO "GET /management/changeVerifyCode/?t=1648962453658 HTTP/1.1" 200 771
127.0.0.1 -- [2022-04-03 13:07:47,387] INFO "POST /management/login/ HTTP/1.1" 302 0
127.0.0.1 -- [2022-04-03 13:07:47,407] INFO "GET /management/index/ HTTP/1.1" 200 10470
127.0.0.1 -- [2022-04-03 13:07:47,432] INFO "GET /static/fonts/iconfont.css HTTP/1.1" 200 6282
none -- [2022-04-03 13:07:47,435] INFO "GET /static/layui/css/layui.css HTTP/1.1" 200 95407
127.0.0.1 -- [2022-04-03 13:07:47,444] INFO "GET /static/layui/layui.js HTTP/1.1" 200 7395
127.0.0.1 -- [2022-04-03 13:07:47,493] INFO "GET /management/home/ HTTP/1.1" 200 304
127.0.0.1 -- [2022-04-03 13:07:47,504] INFO "GET /static/fonts/iconfont.woff2?t=1648146946981 HTTP/1.1" 200 23696
none -- [2022-04-03 13:07:47,516] INFO "GET /static/css/style.css HTTP/1.1" 200 8146
127.0.0.1 -- [2022-04-03 13:07:47,525] INFO "GET /static/layui/lay/modules/element.js HTTP/1.1" 200 7264
127.0.0.1 -- [2022-04-03 13:07:47,558] INFO "GET /static/layui/font/iconfont.woff2?v=256 HTTP/1.1" 200 25964
127.0.0.1 -- [2022-04-03 13:07:50,279] INFO "GET /management/userManage/home/ HTTP/1.1" 200 14617
