[2022-04-05 01:50:13,948] apscheduler.scheduler:[INFO]:[base:add_job:444]:[MainProcess:14172]:Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2022-04-05 01:50:13,949] apscheduler.scheduler:[INFO]:[base:_real_add_job:885]:[MainProcess:14172]:Added job "upload_prescription_job" to job store "default"
[2022-04-05 01:50:13,949] apscheduler.scheduler:[INFO]:[base:start:171]:[MainProcess:14172]:Scheduler started
[2022-04-05 01:51:13,953] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:51:13 CST)" (scheduled at 2022-04-05 01:51:13.948623+08:00)
[2022-04-05 01:51:14,588] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:52:13 CST)" executed successfully
[2022-04-05 01:52:13,962] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:52:13 CST)" (scheduled at 2022-04-05 01:52:13.948623+08:00)
[2022-04-05 01:52:14,055] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:53:13 CST)" executed successfully
[2022-04-05 01:53:13,963] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:53:13 CST)" (scheduled at 2022-04-05 01:53:13.948623+08:00)
[2022-04-05 01:53:14,035] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:54:13 CST)" executed successfully
[2022-04-05 01:54:13,974] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:54:13 CST)" (scheduled at 2022-04-05 01:54:13.948623+08:00)
[2022-04-05 01:54:14,077] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:55:13 CST)" executed successfully
[2022-04-05 01:55:13,955] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:55:13 CST)" (scheduled at 2022-04-05 01:55:13.948623+08:00)
[2022-04-05 01:55:14,050] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:56:13 CST)" executed successfully
[2022-04-05 01:56:13,952] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:56:13 CST)" (scheduled at 2022-04-05 01:56:13.948623+08:00)
[2022-04-05 01:56:14,030] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:57:13 CST)" executed successfully
[2022-04-05 01:57:13,964] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:57:13 CST)" (scheduled at 2022-04-05 01:57:13.948623+08:00)
[2022-04-05 01:57:14,034] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:58:13 CST)" executed successfully
[2022-04-05 01:58:13,963] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:58:13 CST)" (scheduled at 2022-04-05 01:58:13.948623+08:00)
[2022-04-05 01:58:14,039] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:59:13 CST)" executed successfully
[2022-04-05 01:59:13,973] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 01:59:13 CST)" (scheduled at 2022-04-05 01:59:13.948623+08:00)
[2022-04-05 01:59:14,044] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:00:13 CST)" executed successfully
[2022-04-05 02:00:13,954] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:00:13 CST)" (scheduled at 2022-04-05 02:00:13.948623+08:00)
[2022-04-05 02:00:14,029] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:01:13 CST)" executed successfully
[2022-04-05 02:01:13,966] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:02:13 CST)" (scheduled at 2022-04-05 02:01:13.948623+08:00)
[2022-04-05 02:01:14,007] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:02:13 CST)" executed successfully
[2022-04-05 02:02:13,952] apscheduler.executors.default:[INFO]:[base:run_job:123]:[MainProcess:14172]:Running job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:03:13 CST)" (scheduled at 2022-04-05 02:02:13.948623+08:00)
[2022-04-05 02:02:14,004] apscheduler.executors.default:[INFO]:[base:run_job:144]:[MainProcess:14172]:Job "upload_prescription_job (trigger: interval[0:01:00], next run at: 2022-04-05 02:03:13 CST)" executed successfully
